item_id,title,category,subcategory,price,currency,tags,description,brand,target_gender,age_group_label,age_min,age_max,rating,stock,created_at
100000,Classic Skincare Set,Beauty & Personal Care,Skincare Set,328.49,INR,"skincare_set,beauty_&_personal_care,portable,travel,for-her",Classic Skincare Set is crafted with care by FitTrack. A delightful present for teen who loves skincare set.,FitTrack,boys,teen,13,19,3.44,16,2025-01-03
100001,Minimal Notebooks,Stationery,Notebooks,118.72,INR,"notebooks,stationery,valentine,budget,office","Give the Minimal Notebooks as a thoughtful gift — high-quality, well-designed and ideal for boys.",HandyGifts,boys,teen,13,19,4.16,414,2025-01-25
100002,Comfort Personalized Journal,Personalized Gifts,Personalized Journal,50.0,INR,"personalized_journal,personalized_gifts,portable,travel,luxury","Comfort Personalized Journal by FitTrack. A great gift for boys in the young_adult age group. Practical, stylish and long-lasting.",FitTrack,boys,young_adult,20,35,4.14,183,2025-06-20
100003,Cute Necklace,Jewelry,Necklace,861.88,INR,"necklace,jewelry,travel,for-her,valentine","Give the Cute Necklace as a thoughtful gift — high-quality, well-designed and ideal for boys.",PeakActive,boys,adult,36,60,4.51,295,2025-04-23
100004,Elegant Travel Mug,Home & Kitchen,Travel Mug,50.0,INR,"travel_mug,home_&_kitchen,portable,anniversary,custom",Elegant Travel Mug is crafted with care by ChocoDelight. A delightful present for teen who loves travel mug.,ChocoDelight,unisex,teen,13,19,3.71,325,2025-06-06
100005,Personalized Sunglasses,Fashion Accessories,Sunglasses,141.83,INR,"sunglasses,fashion_accessories,eco,budget,travel",Personalized Sunglasses is crafted with care by FitTrack. A delightful present for child who loves sunglasses.,FitTrack,unisex,child,3,12,3.74,194,2025-05-21
100006,Elegant Terrarium Kit,Gardening & Decor,Terrarium Kit,253.93,INR,"terrarium_kit,gardening_&_decor,budget,handmade,anniversary","Give the Elegant Terrarium Kit as a thoughtful gift — high-quality, well-designed and ideal for unisex.",BrightHome,unisex,child,3,12,2.69,205,2025-05-03
100007,Comfort Sticky Notes,Stationery,Sticky Notes,240.96,INR,"sticky_notes,stationery,festival,custom,office",WriteWell presents the Comfort Sticky Notes. Perfect for birthdays and special occasions. Compact and easy to carry.,WriteWell,unisex,adult,36,60,4.48,126,2025-09-18
100008,Luxury Pendant,Jewelry,Pendant,662.46,INR,"pendant,jewelry,custom,office,handmade","Luxury Pendant by StoryNest. A great gift for girls in the teen age group. Practical, stylish and long-lasting.",StoryNest,girls,teen,13,19,3.79,440,2025-02-05
100009,Luxury Perfume,Beauty & Personal Care,Perfume,319.39,INR,"perfume,beauty_&_personal_care,festival,for-him,office","Luxury Perfume by HandyGifts. A great gift for boys in the adult age group. Practical, stylish and long-lasting.",HandyGifts,boys,adult,36,60,3.63,348,2025-02-22
100010,Comfort Water Bottle,Fitness & Sports,Water Bottle,426.25,INR,"water_bottle,fitness_&_sports,festival,gift,birthday","Give the Comfort Water Bottle as a thoughtful gift — high-quality, well-designed and ideal for girls.",ThermoCo,girls,teen,13,19,3.69,497,2025-09-25
100011,Compact Photo Collage,Personalized Gifts,Photo Collage,505.42,INR,"photo_collage,personalized_gifts,luxury,custom,eco",ChocoDelight presents the Compact Photo Collage. Perfect for birthdays and special occasions. Compact and easy to carry.,ChocoDelight,unisex,senior,61,100,4.3,276,2025-09-01
